# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.090        0.000       20.316      511.453
       0.091        0.000       20.316      511.453
       0.091        0.000       20.316      511.453
       0.092        0.000       20.316      511.453
       0.092        0.000       20.316      511.453
       0.092        0.000       20.316      511.453
       0.093        0.000       20.316      511.453
       0.093        0.000       20.316      511.453
       0.094        0.000       20.316      511.453
       0.094        0.000       20.316      511.453
       0.095        0.000       20.316      511.453
       0.095        0.000       20.316      511.453
       0.095        0.000       20.316      511.453
       0.096        0.000       20.316      511.453
       0.096        0.000       20.316      511.453
       0.097        0.000       20.316      511.453
       0.097        0.000       20.316      511.453
       0.098        0.000       20.316      511.453
       0.098        0.000       20.316      511.453
       0.099        0.000       20.316      511.453
       0.099        0.000       20.316      511.453
       0.099        0.000       20.316      511.453
       0.100        0.000       20.316      511.453
       0.100        0.000       20.316      511.453
       0.101        0.000       20.316      511.453
       0.101        0.000       20.316      511.453
       0.102        0.000       20.316      511.453
       0.102        0.000       20.316      511.453
       0.102        0.000       20.316      511.453
       0.103        0.000       20.316      511.453
       0.103        0.000       20.316      511.453
       0.104        0.000       20.316      511.453
       0.104        0.000       20.316      511.453
       0.105        0.000       20.316      511.453
       0.105        0.000       20.316      511.453
       0.106        0.000       20.316      511.453
       0.106        0.000       20.316      511.453
       0.107        0.000       20.316      511.453
       0.107        0.000       20.316      511.453
       0.108        0.000       20.316      511.453
       0.108        0.000       20.316      511.453
       0.108        0.000       20.316      511.453
       0.109        0.000       20.316      511.453
       0.109        0.000       20.316      511.453
       0.110        0.000       20.316      511.453
       0.110        0.000       20.316      511.453
       0.111        0.000       20.316      511.453
       0.111        0.000       20.316      511.453
       0.111        0.000       20.316      511.453
       0.112        0.000       20.316      511.453
       0.112        0.000       20.316      511.453
       0.113        0.000       20.316      511.453
       0.113        0.000       20.316      511.453
       0.114        0.000       20.316      511.453
       0.114        0.000       20.316      511.453
       0.115        0.000       20.316      511.453
       0.115        0.000       20.316      511.453
       0.116        0.000       20.316      511.453
       0.116        0.000       20.316      511.453
       0.116        0.000       20.316      511.453
       0.117        0.000       20.316      511.453
       0.117        0.000       20.316      511.453
       0.118        0.000       20.316      511.453
       0.118        0.000       20.316      511.453
       0.119        0.000       20.316      511.453
       0.119        0.000       20.316      511.453
       0.119        0.000       20.316      511.453
       0.120        0.000       20.316      511.453
       0.120        0.000       20.316      511.453
       0.121        0.000       20.316      511.453
       0.121        0.000       20.316      511.453
       0.122        0.000       20.316      511.453
       0.122        0.000       20.316      511.453
       0.123        0.000       20.316      511.453
       0.123        0.000       20.316      511.453
       0.124        0.000       20.316      511.453
       0.124        0.000       20.316      511.453
       0.124        0.000       20.316      511.453
       0.125        0.000       20.316      511.453
       0.125        0.000       20.316      511.453
       0.126        0.000       20.316      511.453
       0.126        0.000       20.316      511.453
       0.127        0.000       20.316      511.453
       0.127        0.000       20.316      511.453
       0.127        0.000       20.316      511.453
       0.128        0.000       20.316      511.453
       0.128        0.000       20.316      511.453
       0.129        0.000       20.316      511.453
       0.129        0.000       20.316      511.453
       0.130        0.000       20.316      511.453
       0.130        0.000       20.316      511.453
       0.131        0.000       20.316      511.453
       0.131        0.000       20.316      511.453
       0.132        0.000       20.316      511.453
       0.132        0.000       20.316      511.453
       0.132        0.000       20.316      511.453
       0.133        0.000       20.316      511.453
       0.133        0.000       20.316      511.453
       0.134        0.000       20.316      511.453
       0.134        0.000       20.316      511.453
       0.134        0.000       20.316      511.453
       0.135        0.000       20.316      511.453
       0.135        0.000       20.316      511.453
       0.136        0.000       20.316      511.453
       0.136        0.000       20.316      511.453
       0.137        0.000       20.316      511.453
       0.137        0.000       20.316      511.453
       0.138        0.000       20.316      511.453
       0.138        0.000       20.316      511.453
       0.138        0.000       20.316      511.453
       0.139        0.000       20.316      511.453
       0.139        0.000       20.316      511.453
       0.140        0.000       20.316      511.453
       0.140        0.000       20.316      511.453
       0.140        0.000       20.316      511.453
       0.141        0.000       20.316      511.453
       0.141        0.000       20.316      511.453
       0.142        0.000       20.316      511.453
       0.142        0.000       20.316      511.453
       0.143        0.000       20.316      511.453
       0.143        0.000       20.316      511.453
       0.143        0.000       20.316      511.453
       0.144        0.000       20.316      511.453
       0.144        0.000       20.316      511.453
       0.145        0.000       20.316      511.453
       0.145        0.000       20.316      511.453
       0.146        0.000       20.316      511.453
       0.146        0.000       20.316      511.453
       0.146        0.000       20.316      511.453
       0.147        0.000       20.316      511.453
       0.147        0.000       20.316      511.453
       0.148        0.000       20.316      511.453
       0.148        0.000       20.316      511.453
       0.149        0.000       20.316      511.453
       0.149        0.000       20.316      511.453
       0.149        0.000       20.316      511.453
       0.150        0.000       20.316      511.453
       0.150        0.000       20.316      511.453
       0.151        0.000       20.316      511.453
       0.151        0.000       20.316      511.453
       0.152        0.000       20.316      511.453
       0.152        0.000       20.316      511.453
       0.152        0.000       20.316      511.453
       0.153        0.000       20.316      511.453
       0.153        0.000       20.316      511.453
       0.154        0.000       20.316      511.453
       0.154        0.000       20.316      511.453
       0.154        0.000       20.316      511.453
       0.155        0.000       20.316      511.453
       0.155        0.000       20.316      511.453
       0.156        0.000       20.316      511.453
       0.156        0.000       20.316      511.453
       0.157        0.000       20.316      511.453
       0.157        0.000       20.316      511.453
       0.157        0.000       20.316      511.453
       0.158        0.000       20.316      511.453
       0.158        0.000       20.316      511.453
       0.159        0.000       20.316      511.453
       0.159        0.000       20.316      511.453
       0.160        0.000       20.316      511.453
       0.160        0.000       20.316      511.453
       0.160        0.000       20.316      511.453
       0.161        0.000       20.316      511.453
       0.161        0.000       20.316      511.453
       0.162        0.000       20.316      511.453
       0.162        0.000       20.316      511.453
       0.163        0.000       20.316      511.453
       0.163        0.000       20.316      511.453
       0.163        0.000       20.316      511.453
       0.164        0.000       20.316      511.453
       0.164        0.000       20.316      511.453
       0.165        0.000       20.316      511.453
       0.165        0.000       20.316      511.453
       0.166        0.000       20.316      511.453
       0.166        0.000       20.316      511.453
       0.166        0.000       20.316      511.453
       0.167        0.000       20.316      511.453
       0.167        0.000       20.316      511.453
       0.168        0.000       20.316      511.453
       0.168        0.000       20.316      511.453
       0.169        0.000       20.316      511.453
       0.169        0.000       20.316      511.453
       0.169        0.000       20.316      511.453
       0.170        0.000       20.316      511.453
       0.170        0.000       20.316      511.453
       0.171        0.000       20.316      511.453
       0.171        0.000       20.316      511.453
       0.171        0.000       20.316      511.453
       0.172        0.000       20.316      511.453
       0.172        0.000       20.316      511.453
       0.173        0.000       20.316      511.453
       0.173        0.000       20.316      511.453
       0.174        0.000       20.316      511.453
       0.174        0.000       20.316      511.453
       0.174        0.000       20.316      511.453
       0.175        0.000       20.316      511.453
       0.175        0.000       20.316      511.453
       0.176        0.000       20.316      511.453
       0.176        0.000       20.316      511.453
       0.176        0.000       20.316      511.453
       0.177        0.000       20.316      511.453
       0.177        0.000       20.316      511.453
       0.178        0.000       20.316      511.453
       0.178        0.000       20.316      511.453
       0.179        0.000       20.316      511.453
       0.179        0.000       20.316      511.453
       0.180        0.000       20.316      511.453
       0.180        0.000       20.316      511.453
       0.180        0.000       20.316      511.453
       0.181        0.000       20.316      511.453
       0.181        0.000       20.316      511.453
       0.182        0.000       20.316      511.453
       0.182        0.000       20.316      511.453
       0.182        0.000       20.316      511.453
       0.183        0.000       20.316      511.453
       0.183        0.000       20.316      511.453
       0.184        0.000       20.316      511.453
       0.184        0.000       20.316      511.453
       0.185        0.000       20.316      511.453
       0.185        0.000       20.316      511.453
       0.185        0.000       20.316      511.453
       0.186        0.000       20.316      511.453
       0.186        0.000       20.316      511.453
       0.187        0.000       20.316      511.453
       0.187        0.000       20.316      511.453
       0.187        0.000       20.316      511.453
       0.188        0.000       20.316      511.453
       0.188        0.000       20.316      511.453
       0.189        0.000       20.316      511.453
       0.189        0.000       20.316      511.453
       0.190        0.000       20.316      511.453
       0.190        0.000       20.316      511.453
       0.190        0.000       20.316      511.453
       0.191        0.000       20.316      511.453
       0.191        0.000       20.316      511.453
       0.192        0.000       20.316      511.453
       0.192        0.000       20.316      511.453
       0.193        0.000       20.316      511.453
       0.193        0.000       20.316      511.453
       0.193        0.000       20.316      511.453
       0.194        0.000       20.316      511.453
       0.194        0.000       20.316      511.453
       0.195        0.000       20.316      511.453
       0.195        0.000       20.316      511.453
       0.196        0.000       20.316      511.453
       0.196        0.000       20.316      511.453
       0.196        0.000       20.316      511.453
       0.197        0.000       20.316      511.453
       0.197        0.000       20.316      511.453
       0.198        0.000       20.316      511.453
       0.198        0.000       20.316      511.453
       0.198        0.000       20.316      511.453
       0.199        0.000       20.316      511.453
       0.199        0.000       20.316      511.453
       0.200        0.000       20.316      511.453
       0.200        0.000       20.316      511.453
       0.201        0.000       20.316      511.453
       0.201        0.000       20.316      511.453
       0.201        0.000       20.316      511.453
       0.202        0.000       20.316      511.453
       0.202        0.000       20.316      511.453
       0.203        0.000       20.316      511.453
       0.203        0.000       20.316      511.453
       0.204        0.000       20.316      511.453
       0.204        0.000       20.316      511.453
       0.204        0.000       20.316      511.453
       0.205        0.000       20.316      511.453
       0.205        0.000       20.316      511.453
       0.206        0.000       20.316      511.453
       0.206        0.000       20.316      511.453
       0.207        0.000       20.316      511.453
       0.207        0.000       20.316      511.453
       0.207        0.000       20.316      511.453
       0.208        0.000       20.316      511.453
       0.208        0.000       20.316      511.453
       0.209        0.000       20.316      511.453
       0.209        0.000       20.316      511.453
       0.209        0.000       20.316      511.453
       0.210        0.000       20.316      511.453
       0.210        0.000       20.316      511.453
       0.211        0.000       20.316      511.453
       0.211        0.000       20.316      511.453
       0.212        0.000       20.316      511.453
       0.212        0.000       20.316      511.453
       0.212        0.000       20.316      511.453
       0.213        0.000       20.316      511.453
       0.213        0.000       20.316      511.453
       0.214        0.000       20.316      511.453
       0.214        0.000       20.316      511.453
       0.215        0.000       20.316      511.453
       0.215        0.000       20.316      511.453
       0.215        0.000       20.316      511.453
       0.216        0.000       20.316      511.453
       0.216        0.000       20.316      511.453
       0.217        0.000       20.316      511.453
       0.217        0.000       20.316      511.453
       0.218        0.000       20.316      511.453
       0.218        0.000       20.316      511.453
       0.218        0.000       20.316      511.453
       0.219        0.000       20.316      511.453
       0.219        0.000       20.316      511.453
       0.220        0.000       20.316      511.453
       0.220        0.000       20.316      511.453
       0.220        0.000       20.316      511.453
       0.221        0.000       20.316      511.453
       0.221        0.000       20.316      511.453
       0.222        0.000       20.316      511.453
       0.222        0.000       20.316      511.453
       0.223        0.000       20.316      511.453
       0.223        0.000       20.316      511.453
       0.223        0.000       20.316      511.453
       0.224        0.000       20.316      511.453
       0.224        0.000       20.316      511.453
       0.225        0.000       20.316      511.453
       0.225        0.000       20.316      511.453
       0.226        0.000       20.316      511.453
       0.226        0.000       20.316      511.453
       0.226        0.000       20.316      511.453
       0.227        0.000       20.316      511.453
       0.227        0.000       20.316      511.453
       0.228        0.000       20.316      511.453
       0.228        0.000       20.316      511.453
       0.229        0.000       20.316      511.453
       0.229        0.000       20.316      511.453
       0.229        0.000       20.316      511.453
       0.230        0.000       20.316      511.453
       0.230        0.000       20.316      511.453
       0.231        0.000       20.316      511.453
       0.231        0.000       20.316      511.453
       0.232        0.000       20.316      511.453
       0.232        0.000       20.316      511.453
       0.232        0.000       20.316      511.453
       0.233        0.000       20.316      511.453
       0.233        0.000       20.316      511.453
       0.234        0.000       20.316      511.453
       0.234        0.000       20.316      511.453
       0.234        0.000       20.316      511.453
       0.235        0.000       20.316      511.453
       0.235        0.000       20.316      511.453
       0.236        0.000       20.316      511.453
       0.236        0.000       20.316      511.453
       0.237        0.000       20.316      511.453
       0.237        0.000       20.316      511.453
       0.237        0.000       20.316      511.453
       0.238        0.000       20.316      511.453
       0.238        0.000       20.316      511.453
       0.239        0.000       20.316      511.453
       0.239        0.000       20.316      511.453
       0.240        0.000       20.316      511.453
       0.240        0.000       20.316      511.453
       0.240        0.000       20.316      511.453
       0.241        0.000       20.316      511.453
       0.241        0.000       20.316      511.453
       0.242        0.000       20.316      511.453
       0.242        0.000       20.316      511.453
       0.242        0.000       20.316      511.453
       0.243        0.000       20.316      511.453
       0.243        0.000       20.316      511.453
       0.244        0.000       20.316      511.453
       0.244        0.000       20.316      511.453
       0.245        0.000       20.316      511.453
       0.245        0.000       20.316      511.453
       0.245        0.000       20.316      511.453
       0.246        0.000       20.316      511.453
       0.246        0.000       20.316      511.453
       0.247        0.000       20.316      511.453
       0.247        0.000       20.316      511.453
       0.247        0.000       20.316      511.453
       0.248        0.000       20.316      511.453
       0.248        0.000       20.316      511.453
       0.249        0.000       20.316      511.453
       0.249        0.000       20.316      511.453
       0.250        0.000       20.316      511.453
       0.250        0.000       20.316      511.453
       0.250        0.000       20.316      511.453
       0.251        0.000       20.316      511.453
       0.251        0.000       20.316      511.453
       0.252        0.000       20.316      511.453
       0.252        0.000       20.316      511.453
       0.253        0.000       20.316      511.453
       0.253        0.000       20.316      511.453
       0.253        0.000       20.316      511.453
       0.254        0.000       20.316      511.453
       0.254        0.000       20.316      511.453
       0.255        0.000       20.316      511.453
       0.255        0.000       20.316      511.453
       0.256        0.000       20.316      511.453
       0.256        0.000       20.316      511.453
       0.256        0.000       20.316      511.453
       0.257        0.000       20.316      511.453
       0.257        0.000       20.316      511.453
       0.258        0.000       20.316      511.453
       0.258        0.000       20.316      511.453
       0.258        0.000       20.316      511.453
       0.259        0.000       20.316      511.453
       0.259        0.000       20.316      511.453
       0.260        0.000       20.316      511.453
       0.260        0.000       20.316      511.453
       0.261        0.000       20.316      511.453
       0.261        0.000       20.316      511.453
       0.261        0.000       20.316      511.453
       0.262        0.000       20.316      511.453
       0.262        0.000       20.316      511.453
       0.263        0.000       20.316      511.453
       0.263        0.000       20.316      511.453
       0.264        0.000       20.316      511.453
       0.264        0.000       20.316      511.453
       0.264        0.000       20.316      511.453
       0.265        0.000       20.316      511.453
       0.265        0.000       20.316      511.453
       0.266        0.000       20.316      511.453
       0.266        0.000       20.316      511.453
       0.266        0.000       20.316      511.453
       0.267        0.000       20.316      511.453
       0.267        0.000       20.316      511.453
       0.268        0.000       20.316      511.453
       0.268        0.000       20.316      511.453
       0.269        0.000       20.316      511.453
       0.269        0.000       20.316      511.453
       0.269        0.000       20.316      511.453
       0.270        0.000       20.316      511.453
       0.270        0.000       20.316      511.453
       0.271        0.000       20.316      511.453
       0.271        0.000       20.316      511.453
       0.272        0.000       20.316      511.453
       0.272        0.000       20.316      511.453
       0.272        0.000       20.316      511.453
       0.273        0.000       20.316      511.453
       0.273        0.000       20.316      511.453
       0.274        0.000       20.316      511.453
       0.274        0.000       20.316      511.453
       0.274        0.000       20.316      511.453
       0.275        0.000       20.316      511.453
       0.275        0.000       20.316      511.453
       0.276        0.000       20.316      511.453
       0.276        0.000       20.316      511.453
       0.277        0.000       20.316      511.453
       0.277        0.000       20.316      511.453
       0.277        0.000       20.316      511.453
       0.278        0.000       20.316      511.453
       0.278        0.000       20.316      511.453
       0.279        0.000       20.316      511.453
       0.279        0.000       20.316      511.453
       0.279        0.000       20.316      511.453
       0.280        0.000       20.316      511.453
       0.280        0.000       20.316      511.453
       0.281        0.000       20.316      511.453
       0.281        0.000       20.316      511.453
       0.281        0.000       20.316      511.453
       0.282        0.000       20.316      511.453
       0.282        0.000       20.316      511.453
       0.283        0.000       20.316      511.453
       0.283        0.000       20.316      511.453
       0.284        0.000       20.316      511.453
       0.284        0.000       20.316      511.453
       0.284        0.000       20.316      511.453
       0.285        0.000       20.316      511.453
       0.285        0.000       20.316      511.453
       0.286        0.000       20.316      511.453
       0.286        0.000       20.316      511.453
       0.287        0.000       20.316      511.453
       0.287        0.000       20.316      511.453
       0.287        0.000       20.316      511.453
       0.288        0.000       20.316      511.453
       0.288        0.000       20.316      511.453
       0.289        0.000       20.316      511.453
       0.289        0.000       20.316      511.453
       0.289        0.000       20.316      511.453
       0.290        0.000       20.316      511.453
       0.290        0.000       20.316      511.453
       0.291        0.000       20.316      511.453
       0.291        0.000       20.316      511.453
       0.292        0.000       20.316      511.453
       0.292        0.000       20.316      511.453
       0.292        0.000       20.316      511.453
       0.293        0.000       20.316      511.453
       0.293        0.000       20.316      511.453
       0.294        0.000       20.316      511.453
       0.294        0.000       20.316      511.453
       0.294        0.000       20.316      511.453
       0.295        0.000       20.316      511.453
       0.295        0.000       20.316      511.453
       0.296        0.000       20.316      511.453
       0.296        0.000       20.316      511.453
       0.297        0.000       20.316      511.453
       0.297        0.000       20.316      511.453
       0.298        0.000       20.316      511.453
       0.298        0.000       20.316      511.453
       0.298        0.000       20.316      511.453
       0.299        0.000       20.316      511.453
       0.299        0.000       20.316      511.453
       0.300        0.000       20.316      511.453
       0.300        0.000       20.316      511.453
       0.300        0.000       20.316      511.453
       0.301        0.000       20.316      511.453
       0.301        0.000       20.316      511.453
       0.302        0.000       20.316      511.453
       0.302        0.000       20.316      511.453
       0.302        0.000       20.316      511.453
       0.303        0.000       20.316      511.453
       0.303        0.000       20.316      511.453
       0.304        0.000       20.316      511.453
       0.304        0.000       20.316      511.453
       0.305        0.000       20.316      511.453
       0.305        0.000       20.316      511.453
       0.305        0.000       20.316      511.453
       0.306        0.000       20.316      511.453
       0.306        0.000       20.316      511.453
       0.307        0.000       20.316      511.453
       0.307        0.000       20.316      511.453
       0.308        0.000       20.316      511.453
       0.308        0.000       20.316      511.453
       0.308        0.000       20.316      511.453
       0.309        0.000       20.316      511.453
       0.309        0.000       20.316      511.453
       0.310        0.000       20.316      511.453
       0.310        0.000       20.316      511.453
       0.311        0.000       20.316      511.453
       0.311        0.000       20.316      511.453
       0.311        0.000       20.316      511.453
       0.312        0.000       20.316      511.453
       0.312        0.000       20.316      511.453
       0.313        0.000       20.316      511.453
       0.313        0.000       20.316      511.453
       0.313        0.000       20.316      511.453
       0.314        0.000       20.316      511.453
       0.314        0.000       20.316      511.453
       0.315        0.000       20.316      511.453
       0.315        0.000       20.316      511.453
       0.316        0.000       20.316      511.453
       0.316        0.000       20.316      511.453
       0.316        0.000       20.316      511.453
       0.317        0.000       20.316      511.453
       0.317        0.000       20.316      511.453
       0.318        0.000       20.316      511.453
       0.318        0.000       20.316      511.453
       0.318        0.000       20.316      511.453
       0.319        0.000       20.316      511.453
       0.319        0.000       20.316      511.453
       0.320        0.000       20.316      511.453
       0.320        0.000       20.316      511.453
       0.321        0.000       20.316      511.453
       0.321        0.000       20.316      511.453
       0.321        0.000       20.316      511.453
       0.322        0.000       20.316      511.453
       0.322        0.000       20.316      511.453
       0.323        0.000       20.316      511.453
       0.323        0.000       20.316      511.453
       0.324        0.000       20.316      511.453
       0.324        0.000       20.316      511.453
       0.324        0.000       20.316      511.453
       0.325        0.000       20.316      511.453
       0.325        0.000       20.316      511.453
       0.326        0.000       20.316      511.453
       0.326        0.000       20.316      511.453
       0.326        0.000       20.316      511.453
       0.327        0.000       20.316      511.453
       0.327        0.000       20.316      511.453
       0.328        0.000       20.316      511.453
       0.328        0.000       20.316      511.453
       0.329        0.000       20.316      511.453
       0.329        0.000       20.316      511.453
       0.330        0.000       20.316      511.453
       0.330        0.000       20.316      511.453
       0.330        0.000       20.316      511.453
       0.331        0.000       20.316      511.453
       0.331        0.000       20.316      511.453
       0.332        0.000       20.316      511.453
       0.332        0.000       20.316      511.453
       0.332        0.000       20.316      511.453
       0.333        0.000       20.316      511.453
       0.333        0.000       20.316      511.453
       0.334        0.000       20.316      511.453
       0.334        0.000       20.316      511.453
       0.334        0.000       20.316      511.453
       0.335        0.000       20.316      511.453
       0.335        0.000       20.316      511.453
       0.336        0.000       20.316      511.453
       0.336        0.000       20.316      511.453
       0.337        0.000       20.316      511.453
       0.337        0.000       20.316      511.453
       0.337        0.000       20.316      511.453
       0.338        0.000       20.316      511.453
       0.338        0.000       20.316      511.453
       0.339        0.000       20.316      511.453
       0.339        0.000       20.316      511.453
       0.340        0.000       20.316      511.453
       0.340        0.000       20.316      511.453
       0.340        0.000       20.316      511.453
       0.341        0.000       20.316      511.453
       0.341        0.000       20.316      511.453
       0.342        0.000       20.316      511.453
       0.342        0.000       20.316      511.453
       0.342        0.000       20.316      511.453
       0.343        0.000       20.316      511.453
       0.343        0.000       20.316      511.453
       0.344        0.000       20.316      511.453
       0.344        0.000       20.316      511.453
       0.345        0.000       20.316      511.453
       0.345        0.000       20.316      511.453
       0.345        0.000       20.316      511.453
       0.346        0.000       20.316      511.453
       0.346        0.000       20.316      511.453
       0.347        0.000       20.316      511.453
       0.347        0.000       20.316      511.453
       0.347        0.000       20.316      511.453
       0.348        0.000       20.316      511.453
       0.348        0.000       20.316      511.453
       0.349        0.000       20.316      511.453
       0.349        0.000       20.316      511.453
       0.349        0.000       20.316      511.453
       0.350        0.000       20.316      511.453
       0.350        0.000       20.316      511.453
       0.351        0.000       20.316      511.453
       0.351        0.000       20.316      511.453
       0.352        0.000       20.316      511.453
       0.352        0.000       20.316      511.453
